sep=,
Id,Nama,Layer,Kind,Element,Bintang,Bentuk,Damage,Cooldown,Range,Radius,Mana,Hits,Forks,Bounces,BounceRange,Status,DurasiStatus,Poin,Aura,AuraValue,ElementMatchBonus,Stats,Trigger,TriggerStatus,TriggerPoints,KonsumsiPoinTrigger,MaxDetonations,ZoneDuration,ZoneTickInterval,ZoneDrift,TelegraphDelay,PushForce,LiftDuration,TravelSpeed,GrantOnCast,GrantOnKill,ConsumesCharge,DamagePerCharge,PunyaIkon,Blurb,DPS,ManaPerDetik
sunlance,Sun Lance,Skill,SunStrike,Fire,2,BENGKOK S,60,3.2,12,3.4,5,1,1,0,6,BURN,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"Menandai tanah, lalu menghantam 0.9 detik kemudian. Yang sempat menyingkir, selamat.",18.75,1.56
sunstrike,Sun Strike,Skill,SunStrike,Fire,3,SUDUT V,130,4.2,14,4.4,10,1,1,0,6,BURN,5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.75,12,1.6,9,,,,0.35,yes,Pilar matahari. Lingkarannya lebih lebar dan aba-abanya lebih pendek.,30.95,2.38
tempest,Tempest,Skill,AreaAtTarget,Lightning,3,CAWAN,40,3,12,6.2,7,1,1,0,6,SHOCK,5,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Calls the storm down onto the densest pack.,13.33,2.33
thunderclap,Thunderclap,Skill,Nova,Lightning,2,HURUF L,17,2.8,5.5,5.5,5,1,1,0,6,SHOCK,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. A blast centred on you, wide enough to clear a ring.",6.07,1.79
thundercrown,Thunder Crown,Skill,Chain,Lightning,4,HURUF C,140,3.2,11,10,10,3,4,0,6,SHOCK,6,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Empat cabang, tiga lompatan masing-masing. Menyapu gerombolan melebar, bukan menembus satu barisan.",43.75,3.12
tintamengalir,Flowing Ink,Segel,Passive,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,Defense+2.5; MoveSpeed+0.3,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long. +2.5 defence. Passive - never fires.,,0
tornado,Tornado,Skill,Vortex,Lightning,4,CINCIN,16,8,14,4.2,24,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,5,0.5,2.3,0.9,13,1.8,9,,,,0.35,yes,"Puting beliung. Menyeret lebih kuat, mengangkat lebih lama, dan mengembara sendiri melintasi lapangan.",2,3
voidlance,Void Lance,Skill,Line,Arcane,2,KOTAK 2x2,36,2,11,1.4,3,1,1,0,6,BLEED,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Opens a seam across the field. Applies BLEED.,18,1.5
voidrune,Void Rune,Rune,Line,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,RadiusPct,0.5,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 panjang. Tiap petak skill di atasnya: radius +25%.,,0
voidstep,Void Step,Skill,Blink,Arcane,3,CAWAN,0,5.5,11,0,24,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,Afterimage,,,0.35,yes,Melompat 11 unit menjauh dan meninggalkan bayangan: +40% damage dan lari lebih cepat selama 4 detik.,,4.36
wardaegis,Aegis,Skill,Ward,Arcane,2,KOTAK 2x2,95,13,0,0,26,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,9,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Perisai menyerap 95 damage selama 9 detik.,7.31,2
wardpetty,Lesser Ward,Skill,Ward,Arcane,1,GARIS 2,38,11,0,0,16,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,8,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Perisai menyerap 38 damage selama 8 detik. Menolak dipasang ulang selama perisai lama masih tebal.,3.45,1.45
whirlwind,Whirlwind,Skill,Vortex,Lightning,3,SALIB,10,6.5,12,3.2,16,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,1.6,0.9,9,1.2,9,,,,0.35,yes,Pusaran berjalan yang menyeret musuh ke tengahnya dan MENGANGKAT yang sampai ke mata. Yang terangkat tidak berjalan dan tidak menembak.,1.54,2.46
wintersend,Winter's End,Skill,AreaAtTarget,Ice,4,HURUF C,74,3.4,13,8,10,1,1,0,6,CHILL,6,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. An eight-metre crater of ice, dropped where it hurts most.",21.76,2.94
